Massachusetts Institute of Technology (MIT),1,1
Harvard University,2,4
University of Cambridge,3,2
UCL (University College London),4,5
Imperial College London,5,2
University of Oxford,6,5
Stanford University,7,7
Yale University,8,10
University of Chicago,9,11
California Institute of Technology (Caltech),10,8
Princeton University,10,9
ETH Zurich - Swiss Federal Institute of Technology,12,12
University of Pennsylvania,13,13
Columbia University,14,14
Cornell University,15,19
Johns Hopkins University,16,14
The University of Edinburgh,17,17
University of Toronto,17,20
Kings College London,19,16
EPFL (Ecole Polytechnique Fédérale de Lausanne),19,17
McGill University,21,21
University of Michigan,22,23
Duke University,23,25
National University of Singapore (NUS),24,22
"University of California, Berkeley (UCB)",25,27
The University of Hong Kong,26,28
The Australian National University,27,25
"Ecole normale supérieure, Paris",28,24
Northwestern University,29,34
University of Bristol,30,29
The University of Melbourne,31,33
The University of Tokyo,32,31
The University of Manchester,33,30
The Hong Kong University of Science and Technology,34,40
Seoul National University,35,31
Kyoto University,35,36
University of Wisconsin-Madison,37,41
The University of Sydney,38,37
The Chinese University of Hong Kong (CUHK),39,46
"University of California, Los Angeles (UCLA)",40,37
Ecole Polytechnique,41,35
"Nanyang Technological University, Singapore (NTU)",41,39
The University of Queensland,43,43
New York University (NYU),44,41
University of Copenhagen,45,45
Peking University,46,57
Brown University,47,52
Tsinghua University,48,47
University of British Columbia,49,43
Ruprecht-Karls-Universitaet Heidelberg,50,49
University of Glasgow,51,55
The University of New South Wales (UNSW Australia),52,48
Technische Universität München,53,54
"University of North Carolina, Chapel Hill",54,62
Osaka University,55,55
University of Illinois at Urbana-Champaign,56,63
Carnegie Mellon University,57,65
University of Amsterdam,58,50
University of Washington,59,65
KAIST - Korea Advanced Institute of Science & Technology,60,51
Trinity College Dublin,61,71
"University of California, San Diego (UCSD)",63,59
The University of Warwick,64,61
Ludwig-Maximilians-Universität München,65,52
Tokyo Institute of Technology,66,68
Lund University,67,60
London School of Economics and Political Science (LSE),68,71
University of Helsinki,69,67
Monash University,69,70
The University of Sheffield,71,69
University of Texas at Austin,71,79
University of Geneva,71,85
Leiden University,74,75
Tohoku University,75,71
The University of Nottingham,75,77
KU Leuven,77,82
University of Zurich,78,57
Boston University,79,78
Uppsala University,79,81
Utrecht University,81,80
National Taiwan University (NTU),82,76
University of St Andrews,83,88
The University of Western Australia,84,89
"University of California, Davis",85,95
University of Southampton,86,94
Washington University in St. Louis,86,99
Fudan University,88,71
University of Oslo,89,101
Durham University,90,92
Aarhus University,91,96
Université de Montréal,92,83
Erasmus University Rotterdam,92,90
The University of Auckland,94,92
Delft University of Technology,95,86
University of Alberta,96,84
University of Groningen,97,90
University of Leeds,97,97
Purdue University,99,102
Nagoya University,99,103
Georgia Institute of Technology,99,107
University of Minnesota,102,119
Albert-Ludwigs-Universitaet Freiburg,102,121
The University of Adelaide,104,100
City University of Hong Kong,104,108
University of Pittsburgh,106,111
Pohang University of Science And Technology (POSTECH),107,86
Pennsylvania State University,107,112
Freie Universitaet Berlin,109,150
University of Basel,110,116
University of Lausanne,111,105
Université Pierre et Marie Curie (UPMC),112,115
The Ohio State University,113,109
Yonsei University,114,106
University of York,114,120
Queen Mary University of London,115,98
"University of Maryland, College Park",116,122
"KIT, Karlsruhe Institute of Technology",116,127
KTH Royal Institute of Technology,118,110
Dartmouth College,119,136
Lomonosov Moscow State University,120,114
Maastricht University,121,118
Ghent University,122,129
Shanghai Jiao Tong University,123,104
University of Southern California,125,131
Humboldt-Universität zu Berlin,126,134
Universidade de São Paulo,127,132
Georg-August-University Goettingen,128,146
Newcastle University,129,127
University of Liverpool,130,123
"University of California, Santa Barbara (UCSB)",130,132
University of Virginia,132,141
Kyushu University,133,126
Technical University of Denmark,134,123
Eberhard Karls Universität Tübingen,134,141
Cardiff University,136,123
Rice University,136,129
Université Catholique de Louvain (UCL),138,154
University College Dublin,139,139
McMaster University,140,113
The Hebrew University of Jerusalem,141,138
Emory University,141,156
Radboud University,143,156
Hokkaido University,144,135
Korea University,145,116
University of Cape Town,145,141
RWTH Aachen University,147,147
University of Aberdeen,148,137
"University of California, Irvine",149,153
Wageningen University,150,151
University of Bergen,151,155
University of Rochester,151,164
Texas A&M University,153,165
University of Bern,154,145
University of Otago,155,159
Lancaster University,156,160
Eindhoven University of Technology,157,147
University of Vienna,158,156
École Normale Supérieure de Lyon,158,179
University of Colorado Boulder,160,182
The Hong Kong Polytechnic University,161,162
Sungkyunkwan University (SKKU),162,140
Universidad Nacional Autónoma de México  (UNAM),163,175
Rheinische Friedrich-Wilhelms-Universitt Bonn,163,177
Zhejiang University,165,144
Pontificia Universidad Católica de Chile (UC),166,167
Universiti Malaya (UM),167,151
The University of Exeter,168,161
Universite libre de Bruxelles,168,173
Stockholm University,170,182
Michigan State University,171,195
Queen's University Belfast,172,170
Vrije Universiteit Brussel (VUB),172,181
University of Science and Technology of China,174,147
Nanjing University,175,162
Case Western Reserve University,175,189
Universitat Autònoma de Barcelona,177,173
University of Barcelona,178,166
University of Florida,179,192
University of Waterloo,180,169
Vrije Universiteit Amsterdam,181,171
Vanderbilt University,181,182
Technion - Israel Institute of Technology,183,190
Technische Universität Berlin,183,192
University Hamburg,186,192
University of Bath,187,179
Alma Mater Studiorum - University of Bologna,188,182
Queen`s University at Kingston,189,187
Georgetown University,189,200
Université Paris-Sud,189,209
"University of Illinois, Chicago (UIC)",192,186
Keio University,193,197
University of Sussex,193,200
Universidad Autónoma de Madrid,195,178
Aalto University,196,187
Tel Aviv University,196,195
Sapienza University of Rome,196,202
National Tsing Hua University,199,167
The University of Western Ontario,199,191
University of Calgary,201,171
Chalmers University of Technology,202,175
University of Leicester,202,211
Tufts University,204,214
University of Gothenburg,205,206
University of Turku,205,208
Université Paris Diderot - Paris 7,205,210
Universität Frankfurt am Main,208,217
Universidad de Buenos Aires (UBA),209,198
University of Tsukuba,210,198
University College Cork,210,230
The University of Arizona,212,215
University of Reading,213,202
Sciences Po Paris,214,222
Universidade Estadual de Campinas (Unicamp),215,206
University Complutense Madrid,216,212
King Fahd University of Petroleum & Minerals,216,225
Université Paris-Sorbonne (Paris IV),216,227
University of Dundee,219,230
Université Joseph Fourier - Grenoble 1,220,215
Waseda University,220,220
Indian Institute of Technology Delhi (IITD),222,235
Universidad de Chile,223,220
University of Notre Dame,224,237
Université Paris 1 Panthéon-Sorbonne,225,228
Université de Strasbourg,226,226
University of Ottawa,227,218
University of Twente,228,212
University of East Anglia (UEA),229,240
National Chiao Tung University,230,202
Politecnico di Milano,230,229
University of Miami,232,239
Indian Institute of Technology Bombay (IITB),233,222
Charles University in Prague,233,244
University of Milan,235,238
Westfälische Wilhelms-Universitat Münster,236,249
University of Iowa,236,269
University of Canterbury,238,242
Chulalongkorn University,239,243
Saint-Petersburg State University,240,233
Indiana University Bloomington,240,272
Université de Liège,240,272
University of Cologne,243,305
Simon Fraser University,244,222
Dalhousie University,244,235
Loughborough University,244,265
National Cheng Kung University,247,232
Universität Stuttgart,248,274
Hanyang University,249,219
American University of Beirut (AUB),250,249
Norwegian University of Science And Technology,251,246
Beijing Normal University,252,240
King Saud University,253,249
University of Oulu,253,259
Kyung Hee University,255,275
"Rutgers, The State University of New Jersey, New Brunswick",255,279
University of Strathclyde,257,246
University Ulm,258,249
University of Pisa,259,245
Technische Universität Darmstadt,260,269
University of Massachusetts Amherst,261,282
Technische Universität Dresden,262,234
Macquarie University,263,254
Vienna University of Technology,264,246
Royal Holloway University of London,265,275
Victoria University of Wellington,265,275
Università di Padova,267,262
"University of California, Riverside",268,261
Universiti Kebangsaan Malaysia (UKM),269,259
Yeshiva University,269,280
University of Utah,271,313
University of Technology Sydney,272,264
Universität Konstanz,273,310
Universidad de los Andes,274,262
Université Paris Descartes,274,278
University of Wollongong,276,283
Tokyo Medical and Dental University (TMDU),276,294
Friedrich-Alexander-Universität Erlangen-Nürnberg,278,285
Instituto Tecnológico y de Estudios Superiores de Monterrey,279,253
Queensland University of Technology (QUT),279,285
Universitat Pompeu Fabra,281,298
Universität Mannheim,281,328
Mahidol University,283,257
Universidade Federal do Rio de Janeiro,284,271
"National University of Ireland, Galway",284,280
University of Surrey,284,314
Curtin University,284,331
Hong Kong Baptist University,288,318
Umea University,289,267
Universität Innsbruck,289,288
University of Eastern Finland,291,267
RMIT University,291,304
Arizona State University,293,294
Christian-Albrechts-University zu Kiel,293,396
National Yang Ming University,295,256
Indian Institute of Technology Kanpur (IITK),295,300
Johannes Gutenberg Universität Mainz,297,300
"The University of Newcastle, Australia (UoN)",298,257
École des Ponts ParisTech,299,290
Al-Farabi Kazakh National University,299,305
University of Jyväskylä,299,318
University at Buffalo SUNY,302,300
L.N. Gumilyov Eurasian National University (ENU),303,324
Kobe University,304,294
North Carolina State University,304,388
University of Tromsø The Arctic University of Norway,306,338
"University of California, Santa Cruz",307,265
Hiroshima University,307,314
University of Indonesia,309,310
University of Bordeaux,309,363
Universität  Leipzig,311,289
University of Southern Denmark,311,308
University of the Witwatersrand,313,318
Indian Institute of Technology Madras (IITM),313,322
University of Navarra,315,254
Virginia Polytechnic Institute and State University,316,355
Universidad Austral,317,287
Universidad Carlos III de Madrid (UC3M),317,355
University of Mississippi,317,375
"University of Rome ""Tor Vergata""",320,305
University of Victoria,321,290
Iowa State University,321,348
Brandeis University,324,316
Universidad Nacional de Colombia,325,316
Julius-Maximilians-Universität Würzburg,325,341
George Washington University,327,300
University of Hawai'i at Mañoa,327,324
Laval University,329,298
Wake Forest University,329,338
Linköping University,331,283
Ben Gurion University of The Negev,331,292
Boston College,331,341
Bauman Moscow State Technical University,334,322
Ecole Normale Supérieure de Cachan,334,338
Aalborg University,334,363
"SOAS, University of London",337,331
University of Warsaw,338,335
"Stony Brook University, State University of New York",338,352
University of Essex,338,370
Griffith University,341,324
University of South Australia,341,333
University of Porto,343,293
Massey University,343,346
Universitat Politècnica de Catalunya,345,337
"Indian Institute of Technology, Kharagpur",346,324
City University London,347,341
The American University in Cairo,348,360
Pontificia Universidad Javeriana,349,347
Dublin City University,349,366
James Cook University,351,350
Novosibirsk State University,352,328
Universidade Nova de Lisboa,353,312
Rensselaer Polytechnic Institute,353,359
Universiti Teknologi Malaysia,355,294
Universiti Sains Malaysia (USM),355,309
Aix-Marseille University,355,341
University of Coimbra,358,351
Université Paris Dauphine,358,367
King Abdulaziz University (KAU),360,334
Brunel University London,360,355
Ewha Womans University,362,355
Nankai University,363,328
Taipei Medical University,363,379
Universität Jena,363,397
University of Texas Dallas,366,377
Washington State University,366,379
Ruhr-Universität Bochum,366,388
Heriot-Watt University,369,352
Universität Bremen,370,348
Politecnico di Torino,370,365
Xi’an Jiaotong University,372,379
Tilburg University,373,367
Oxford Brookes University,374,379
Jagiellonian University,376,371
University of Kansas,376,371
University of Tampere,376,385
University of Florence,379,352
Deakin University,380,360
University of the Philippines,380,367
Sun Yat-sen University,384,321
Moscow State Institute of International Relations (MGIMO University),386,399
Stellenbosch University,387,390
Politécnica de Madrid,389,385
University of Naples - Federico II,397,345
Northeastern University,397,399
Aston University,399,390
University of Turin,399,394
