,Rank11,Rank12
The University of Texas M. D. Anderson Cancer Center,,
Tsinghua University,,
University Libre Bruxelles,,
University of Bern,,
University of Buenos Aires,,
University of Hamburg,,
University of Illinois at Chicago,,
University of Kansas - Lawrence,,
University of Kiel,,
University of Koeln,,
University of Mainz,,
"University of Maryland, Baltimore",,
University of Miami,,
University of Milan,,
University of Nebraska - Lincoln,,
University of New South Wales,,
University of Padua,,
University of Paris Descartes (Paris 5),,
University of Southampton,,
University of Tennessee - Knoxville,,
University of Tsukuba,,
University of Vienna,,
University of Wageningen,,
University of Warwick,,
University of Waterloo,,
Virginia Commonwealth University,,
Virginia Polytechnic Institute and State University,,
Autonomous University of Madrid,,
Brandeis University,,
Chalmers University of Technology,,
Charles University in Prague,,
Claude Bernard University Lyon 1,,
Complutense University of Madrid,,
Dalhousie University,,
Dresden University of Technology,,
Fudan University,,
Keio University,,
King Saud University,,
Korea Advanced Institute of Science and Technology,,
Lancaster University,,
Laval University,,
Macquarie University,,
Medical University of Vienna,,
Nanjing University,,
Nanyang Technological University,,
National and Kapodistrian University of Athens,,
National Cheng Kung University,,
Newcastle University,,
Norwegian University of Science and Technology,,
Paul Sabatier University (Toulouse 3),,
Peking University,,
Polytechnic Institute of Milan,,
"Queen Mary, U. of London",,
Queen's University,,
Rensselaer Polytechnic Institute,,
Royal Institute of Technology,,
RWTH Aachen University,,
Shanghai Jiao Tong University,,
Simon Fraser University,,
State University of Campinas,,
State University of New York at Buffalo,,
Technical University of Berlin,,
The George Washington University,,
The Hong Kong Polytechnic University,,
The Hong Kong University of Science and Technology,,
The University of Adelaide,,
The University of Auckland,,
The University of Connecticut - Storrs,,
The University of Hong Kong,,
The University of New Mexico - Albuquerque,,
The University of Reading,,
The University of Texas Health Science Center at San Antonio,,
Trinity College Dublin,,
Umea University,,
University of Aberdeen,,
University of Antwerp,,
University of Barcelona,,
University of Bergen,,
University of Bochum,,
University of Bologna,,
University of Cape Town,,
University of Central Florida,,
University of Cincinnati,,
University of Colorado at Denver,,
University of Duesseldorf,,
University of Durham,,
University of East Anglia,,
University of Erlangen-Nuremberg,,
University of Florence,,
University of Gothenburg,,
University of Guelph,,
University of Houston,,
University of Innsbruck,,
University of Kentucky,,
University of Lausanne,,
University of Leicester,,
University of Leipzig,,
University of Liege,,
University of Lorraine,,
University of Maastricht,,
University of Manitoba,,
University of Marburg,,
University of Medicine and Dentistry New Jersey,,
University of Missouri - Columbia,,
University of Montpellier 2,,
University of Notre Dame,,
University of Oregon,,
University of Otago,,
University of Ottawa,,
University of Paris Dauphine (Paris 9),,
University of Saskatchewan,,
University of Science and Technology of China,,
University of South Carolina - Columbia,,
University of South Florida,,
University of Southern Denmark,,
University of St Andrews,,
University of Stuttgart,,
University of Turin,,
University of Valencia,,
University of Vermont,,
University of Victoria,,
University of York,,
Washington State University - Pullman,,
Western University,,
Yeshiva University,,
Yonsei University,,
Zhejiang University,,
Aristotle University of Thessaloniki,,
Autonomous University of Barcelona,,
Bar-Ilan University,,
Ben-Gurion University of the Negev,,
Brigham Young University,,
China Agricultural University,,
City University of Hong Kong,,
City University of New York City College,,
Clemson University,,
Drexel University,,
Ecole Polytechnique,,
Eindhoven University of Technology,,
Eotvos Lorand University,,
Federal University of Minas Gerais,,
Federal University of Rio de Janeiro,,
Flinders University,,
Georgetown University,,
Hanyang University,,
Hiroshima University,,
Huazhong University of Science and Technology,,
Indian Institute of Science,,
Indiana University-Purdue University at Indianapolis,,
Industrial Physics and Chemistry Higher Educational Institution - Paris,,
Istanbul University,,
Jagiellonian University,,
James Cook University,,
Kanazawa University,,
Kansas State University,,
Karlsruhe Institute of Technology (KIT),,
King Abdulaziz University,,
King Fahd University of Petroleum & Minerals,,
Kobe University,,
Korea University,,
Medical University of Innsbruck,,
Medical University of South Carolina,,
National Chiao Tung University,,
National Tsing Hua University,,
Northeastern University,,
Okayama University,,
Pohang University of Science and Technology,,
Polytechnic University of Valencia,,
Queen's University Belfast,,
Saint Louis University,,
Saint Petersburg State University,,
San Diego State University,,
Sao Paulo State University,,
Scuola Normale Superiore - Pisa,,
Shandong University,,
Sichuan University,,
State University of New York at Albany,,
State University of New York Health Science Center at Brooklyn,,
Stockholm School of Economics,,
Sun Yat-sen University,,
Sungkyunkwan University,,
Swedish University of Agricultural Sciences,,
Syracuse University,,
Technical University Darmstadt,,
Temple University,,
The University of Dundee,,
The University of Montana - Missoula,,
The University of Texas at Dallas,,
The University of Texas Medical Branch at Galveston,,
Thomas Jefferson University,,
Tokyo Medical and Dental University,,
Tulane University,,
University College Cork,,
University College Dublin,,
University of Alaska - Fairbanks,,
University of Bath,,
University of Belgrade,,
University of Bielefeld,,
University of Bordeaux 1,,
University of Duisburg-Essen,,
University of Exeter,,
University of Genova,,
University of Graz,,
University of Halle-Wittenberg,,
University of Jena,,
University of Konstanz,,
University of Naples Federico II,,
University of Nebraska Medical Center,,
University of New Hampshire - Durham,,
University of Newcastle,,
University of Oklahoma - Norman,,
University of Oulu,,
University of Palermo,,
University of Porto,,
University of Regensburg,,
University of Rennes 1,,
University of Rhode Island,,
University of Roma - Tor Vergata,,
University of Szeged,,
University of Tasmania,,
University of Tehran,,
University of the Basque Country,,
University of the Witwatersrand,,
University of Turku,,
University of Twente,,
University of Ulm,,
University of Warsaw,,
Wake Forest University,,
Waseda University,,
Wayne State University,,
Auburn University,,
Beihang University,,
Beijing Normal University,,
Beijing University of Aeronautics and Astronautics,,
Boston College,,
Cairo University,,
Carleton University,,
Catholic University of Chile,,
Catholic University of the Sacred Heart,,
Chang Gung University,,
Central South University,,
Chiba University,,
Chungnam National University,,
China Medical University,,
Curtin University of Technology,,
Dalian University of Technology,,
Ecole National Superieure Mines - Paris,,
Ecole Normale Superieure - Lyon,,
Federal University of Rio Grande do Sul,,
Federal University of Sao Paulo,,
Griffith University,,
Hannover Medical School,,
Harbin Institute of Technology,,
Jilin University,,
Kent State University,,
Kyung Hee University,,
Kyungpook National University,,
La Trobe University,,
Lanzhou University,,
Lehigh University,,
Linkoping University,,
London School of Hygiene and Tropical Medicine,,
Massey University,,
Medical College of Wisconsin,,
Medical University of Graz,,
Montana State University - Bozeman,,
Nagasaki University,,
Nankai University,,
Nara Institute of Science and Technology,,
National Central University,,
National Sun Yat-Sen University,,
National Yang Ming University,,
Nihon University,,
Niigata University,,
Peking Union Medical College,,
Polytechnic University of Turin,,
Pusan National University,,
South China University of Technology,,
Southeast University,,
Swinburne University of Technology,,
Southern Methodist University,,
Swansea Univ,,
Technical University of Braunschweig,,
Technical University of Lisbon,,
Texas Tech University,,
The Open University,,
The University of Connecticut Health Center,,
The University of Texas at San Antonio,,
The University of Tokushima,,
Tianjin University,,
Tilburg University,,
Tongji University,,
University of Arkansas at Fayetteville,,
University of Bari,,
University of Bayreuth,,
University of Bremen,,
University of Canterbury,,
University of Chile,,
University of Eastern Finland,,
University of Essex,,
University of Ferrara,,
University of Giessen,,
University of Granada,,
University of Greifswald,,
University of Haifa,,
University of Hannover,,
University of Jyvaskyla,,
University of KwaZulu-Natal,,
University of Lille 1,,
University of Lisbon,,
University of Ljubljana,,
University of Louisville,,
University of Malaya,,
"University of Maryland, Baltimore County",,
University of Milan - Bicocca,,
University of Nevada - Reno,,
University of Nice Sophia Antipolis,,
University of Parma,,
University of Pavia,,
University of Perugia,,
University of Pompeu Fabra,,
University of Quebec,,
University of Santiago Compostela,,
University of Sherbrooke,,
University of Siena,,
University of Surrey,,
"University of Technology, Sydney",,
University of Tromso,,
University of Versailles,,
University of Vigo,,
University of Wisconsin - Milwaukee,,
University of Wollongong,,
University of Wyoming,,
University of Zagreb,,
University of Zaragoza,,
Utah State University,,
Victoria University of Wellington,,
Vienna University of Technology,,
Vrije University Brussel,,
Wuhan University,,
Xiamen University,,
Xian Jiao Tong University,,
Yamaguchi University,,
York University,,
